#BLTrackFile VirtualDetector/negative_sigma_angle_ellipse_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
3.29849 4.79859 5920.5 -0.0464307 0.0405192 79.2023 39.906 -211 6 1 0 1
6.01423 3.61816 5920.5 0.0506521 0.0977634 129.148 28.999 -211 10 1 0 1
5.98659 5.51138 5920.5 0.151445 0.0677203 129.15 28.9987 -211 16 1 0 1
0.487973 -1.81683 5920.5 -0.0709406 -0.124186 131.296 28.7444 -211 19 1 0 1
7.12369 4.58373 5920.5 0.121081 -0.0584916 126.818 29.2873 -211 20 1 0 1
-0.00518839 3.69243 5920.5 0.0723067 -0.0441701 79.2572 39.885 -211 23 1 0 1
-6.59751 5.26139 5920.5 -0.172583 0.0238533 131.284 28.7458 -211 26 1 0 1
2.90744 -5.85891 5920.5 0.0530596 0.0267288 60.7207 49.3696 -211 27 1 0 1
7.19364 -5.18421 5920.5 0.155288 -0.0326826 122.191 29.8999 -211 32 1 0 1
-1.05257 7.01482 5920.5 0.0741187 0.011705 67.0087 45.5058 -211 46 1 0 1
7.33785 -3.36578 5920.5 0.149951 -0.0994864 123.698 29.6942 -211 47 1 0 1
4.82361 -2.3439 5920.5 0.0193515 -0.104301 106.838 32.4022 -211 50 1 0 1
-6.64838 -5.64035 5920.5 -0.0985499 -0.0258894 106.811 32.4074 -211 53 1 0 1
-7.0094 4.60957 5920.5 -0.169116 -0.0370262 131.334 28.7399 -211 54 1 0 1
-5.23483 -1.43993 5920.5 -0.000227009 -0.0614127 77.6941 40.4933 -211 59 1 0 1
1.77312 -1.40699 5920.5 -0.0531825 0.0884105 110.726 31.6896 -211 61 1 0 1
0.497739 6.88259 5920.5 -0.118828 -0.0228605 60.0648 49.8234 -211 70 1 0 1
6.79032 5.55759 5920.5 0.143532 -0.0187014 126.504 29.3271 -211 75 1 0 1
1.7768 -2.84053 5920.5 0.0840706 0.0493455 80.5911 39.3868 -211 81 1 0 1
0.524141 -1.88748 5920.5 -0.0852188 -0.0494818 64.876 46.7251 -211 86 1 0 1
2.79928 -4.62573 5920.5 -0.0238222 -0.0884699 122.398 29.8712 -211 87 1 0 1
-2.08886 4.27461 5920.5 -0.103717 0.0590796 100.886 33.6203 -211 88 1 0 1
-5.80352 4.18428 5920.5 -0.038557 0.0751799 94.0201 35.2522 -211 91 1 0 1
-6.6151 -3.75361 5920.5 -0.0601346 -0.0806524 107.209 32.3316 -211 93 1 0 1
0.622576 -3.2717 5920.5 0.0857237 -0.0732549 94.7621 35.0625 -211 97 1 0 1
-1.72414 -5.97863 5920.5 -0.0741757 -0.00286464 82.485 38.7106 -211 98 1 0 1
-3.94868 -0.354469 5920.5 -0.113843 -0.0996122 105.406 32.6806 -211 110 1 0 1
2.23205 -3.14683 5920.5 -0.0444572 0.0770598 127.724 29.1737 -211 111 1 0 1
-3.87073 0.955235 5920.5 -0.14058 -0.111501 130.601 28.8257 -211 120 1 0 1
-5.95228 5.5023 5920.5 -0.0545462 0.0510948 131.025 28.776 -211 123 1 0 1
5.67903 2.53097 5920.5 0.0875459 -0.0758311 94.7091 35.0759 -211 125 1 0 1
-3.76411 4.524 5920.5 0.0155969 -0.0301871 100.999 33.5955 -211 126 1 0 1
2.90183 -1.32293 5920.5 0.103402 -0.0889605 96.7594 34.5687 -211 127 1 0 1
4.99862 2.56051 5920.5 0.111237 -0.0790512 101.616 33.4619 -211 129 1 0 1
5.82547 5.65949 5920.5 0.0410583 0.00990055 89.4938 36.4879 -211 135 1 0 1
4.95538 -1.25295 5920.5 0.0114622 0.089867 113.835 31.1613 -211 138 1 0 1
-3.49531 -5.85174 5920.5 -0.0945173 -0.00888976 96.1319 34.7213 -211 140 1 0 1
-3.18915 -5.37433 5920.5 0.043035 -0.0166075 81.5833 39.0282 -211 141 1 0 1
-4.77457 4.48712 5920.5 -0.00760906 0.0701844 89.4705 36.4947 -211 144 1 0 1
-4.95478 -0.286296 5920.5 -0.0180824 -0.110305 131.089 28.7685 -211 146 1 0 1
7.41772 -4.9015 5920.5 0.115856 -0.055255 111.951 31.4773 -211 149 1 0 1
0.61988 -3.80286 5920.5 -0.06324 -0.067327 77.4151 40.6047 -211 151 1 0 1
6.68579 -3.55548 5920.5 0.0772395 -0.094293 113.04 31.2932 -211 152 1 0 1
1.23326 -0.0956527 5920.5 -0.0625984 0.0922222 105.867 32.5899 -211 153 1 0 1
-1.35483 -5.77059 5920.5 -0.0822057 -0.0216981 98.2405 34.2176 -211 159 1 0 1
7.64875 -3.51578 5920.5 0.110197 0.0558405 113.003 31.2993 -211 161 1 0 1
-7.10169 -3.06951 5920.5 -0.141955 0.0912022 129.163 28.9972 -211 162 1 0 1
-3.8684 -5.33791 5920.5 0.0064892 -0.0443867 128.081 29.1295 -211 164 1 0 1
0.745804 4.25466 5920.5 -0.0748944 0.0761465 123.71 29.6926 -211 165 1 0 1
-1.73226 6.80483 5920.5 0.064128 0.00598609 59.5566 50.1824 -211 167 1 0 1
