#BLTrackFile VirtualDetector/negative_sigma_angle_gaussian_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
7.12938 -4.5252 5920.5 0.0764777 -0.202674 89.8318 36.3908 -211 6 1 0 1
-0.436245 -0.829238 5920.5 -0.000851698 -0.230393 105.533 32.6555 -211 7 1 0 1
7.57314 3.33877 5920.5 0.112688 0.0627775 123.256 29.7539 -211 10 1 0 1
-6.98373 0.405979 5920.5 -0.153307 -0.077735 130.991 28.78 -211 12 1 0 1
4.22935 -4.28915 5920.5 0.030003 -0.0888271 93.8952 35.2844 -211 16 1 0 1
1.75691 -4.12882 5920.5 -0.0397266 0.0518422 103.635 33.0372 -211 21 1 0 1
9.42233 4.82526 5920.5 0.159205 -0.018161 143.904 27.4371 -211 23 1 0 1
-1.60172 6.05767 5920.5 0.0552551 -0.0162766 128.696 29.0539 -211 27 1 0 1
4.4203 0.0795087 5920.5 0.0628771 0.0421895 135.383 28.2874 -211 29 1 0 1
-4.29783 -4.86588 5920.5 0.0227704 0.0425093 101.638 33.4571 -211 37 1 0 1
15.0287 1.23489 5920.5 0.17858 -0.117343 131.395 28.733 -211 46 1 0 1
3.73263 3.74159 5920.5 -0.0118665 0.021555 95.5153 34.8735 -211 47 1 0 1
-7.33315 0.933616 5920.5 -0.049643 0.0680737 99.3371 33.9655 -211 53 1 0 1
5.42912 -1.55306 5920.5 0.0168135 0.0355549 78.7505 40.0792 -211 54 1 0 1
10.1587 2.08284 5920.5 0.087793 -0.17758 149.872 26.9131 -211 57 1 0 1
7.61826 -1.93384 5920.5 0.175595 -0.00962874 149.756 26.9228 -211 59 1 0 1
-4.57375 3.18266 5920.5 -0.104088 0.0862343 97.6868 34.3475 -211 61 1 0 1
9.38886 1.12013 5920.5 0.0521911 -0.0880007 112.615 31.3645 -211 69 1 0 1
4.31212 -0.876148 5920.5 0.116072 -0.0412551 121.233 30.0338 -211 70 1 0 1
-3.0771 1.90122 5920.5 -0.0608647 -0.0190235 126.774 29.2928 -211 72 1 0 1
-0.369016 -1.39039 5920.5 -0.0466692 -0.0412206 99.4472 33.9405 -211 75 1 0 1
-13.1999 0.485044 5920.5 -0.165328 0.0168638 120.923 30.0778 -211 79 1 0 1
-5.4621 -1.35343 5920.5 0.00734091 -0.134867 132.992 28.5505 -211 81 1 0 1
-0.375615 3.43703 5920.5 0.0897037 -0.0454741 79.8975 39.6435 -211 86 1 0 1
-6.25899 4.31678 5920.5 0.0010778 -0.111655 109.368 31.9317 -211 87 1 0 1
4.43907 -1.49618 5920.5 0.0457101 0.0951286 99.4005 33.9511 -211 88 1 0 1
6.30988 2.43482 5920.5 -0.119891 0.0508712 73.7029 42.1778 -211 91 1 0 1
-6.57254 2.62295 5920.5 -0.105954 -0.00616207 120.453 30.1447 -211 97 1 0 1
-6.98083 5.18166 5920.5 -0.126807 0.073735 108.238 32.1386 -211 98 1 0 1
11.0803 5.08702 5920.5 0.172186 0.0647938 127.382 29.2163 -211 103 1 0 1
6.86766 -0.276471 5920.5 -0.0141966 0.00451937 103.513 33.0624 -211 110 1 0 1
2.03581 4.57937 5920.5 0.028858 0.022379 64.0535 47.219 -211 111 1 0 1
-11.411 1.03304 5920.5 -21.7123 10.6438 109.719 31.5706 13 116 1001 1 1
3.50863 5.11626 5920.5 0.0049435 0.101113 103.586 33.0474 -211 120 1 0 1
5.89643 -0.148409 5920.5 -0.0839095 -0.0113512 69.1671 44.3553 -211 123 1 0 1
-4.97155 3.10363 5920.5 -0.116806 -0.0322574 107.126 32.3473 -211 125 1 0 1
1.93726 -5.08884 5920.5 -0.0896448 -0.0299328 99.1629 34.0051 -211 126 1 0 1
-3.50543 -3.058 5920.5 -0.00863969 -0.0253331 139.867 27.8238 -211 127 1 0 1
0.0923712 1.74282 5920.5 -0.0144065 -0.0117833 95.2111 34.9494 -211 129 1 0 1
-1.98749 0.835062 5920.5 -0.0782717 -0.0605117 104.009 32.9608 -211 135 1 0 1
-1.49896 -0.536672 5920.5 -0.0321225 0.0344436 89.0279 36.6233 -211 138 1 0 1
1.0224 -3.49992 5920.5 0.0982128 0.0719022 104.968 32.7673 -211 140 1 0 1
-1.01053 -0.763761 5920.5 0.103535 0.00797347 84.378 38.0689 -211 141 1 0 1
11.2811 -1.32338 5920.5 0.00910037 0.0229075 108.713 32.0511 -211 144 1 0 1
1.53899 0.372457 5920.5 0.0855068 0.00115804 92.511 35.6487 -211 146 1 0 1
1.03138 0.146443 5920.5 0.0443835 -0.0211215 86.229 37.4721 -211 149 1 0 1
7.29088 3.97127 5920.5 0.0257784 -0.0543353 84.3898 38.065 -211 151 1 0 1
2.25491 6.28348 5920.5 0.0440099 0.0849241 94.1216 35.226 -211 153 1 0 1
-5.03869 3.61059 5920.5 -0.077079 0.0671452 104.997 32.7615 -211 159 1 0 1
