#BLTrackFile VirtualDetector/positive_sigma_angle_gaussian_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
1.75699 -0.555427 5920.5 -0.0430222 -0.255595 115.739 30.8546 -211 6 1 0 1
10.029 3.56622 5920.5 0.164203 0.0509693 111.002 31.6413 -211 10 1 0 1
2.28479 -7.03944 5920.5 -0.011702 -0.123628 110.176 31.7869 -211 16 1 0 1
4.48954 -1.22135 5920.5 0.0214666 0.0546682 95.2395 34.9423 -211 21 1 0 1
-0.618444 -5.90319 5920.5 -0.114437 0.0691711 87.7144 37.014 -211 26 1 0 1
3.39894 -8.77416 5920.5 0.210812 -0.1278 133.791 28.4613 -211 27 1 0 1
12.4294 3.91157 5920.5 0.332319 0.0834421 145.116 27.3263 -211 29 1 0 1
-10.4751 -1.75914 5920.5 -0.152418 -0.0529433 87.4949 37.0806 -211 32 1 0 1
-4.65045 -0.601032 5920.5 0.0205203 0.0458294 89.5724 36.4652 -211 37 1 0 1
2.84519 7.02209 5920.5 -0.0315228 0.0240038 97.2837 34.4431 -211 47 1 0 1
-0.845499 -3.38987 5920.5 -0.113869 0.0284317 111.054 31.6322 -211 54 1 0 1
15.6137 -0.932048 5920.5 0.352442 0.00438048 114.716 31.0178 -211 59 1 0 1
-0.759998 1.44141 5920.5 -0.0157889 0.0855863 97.5085 34.3896 -211 61 1 0 1
5.6708 -0.950919 5920.5 0.149943 -0.0398205 117.122 30.6391 -211 70 1 0 1
1.33019 -5.15823 5920.5 0.199848 -0.13754 119.2 30.3268 -211 81 1 0 1
-3.69811 4.06152 5920.5 -0.0838612 0.103477 121.311 30.0229 -211 82 1 0 1
-10.3214 -7.72204 5920.5 -0.205643 -0.126332 141.669 27.6478 -211 86 1 0 1
-5.18622 2.81867 5920.5 0.0305779 -0.113938 104.434 32.8745 -211 87 1 0 1
3.06432 -6.37643 5920.5 0.0206804 0.0821559 116.689 30.7058 -211 88 1 0 1
5.07467 -12.4278 5920.5 -0.117976 0.0881507 93.6536 35.3472 -211 91 1 0 1
-11.3806 -6.2632 5920.5 -0.191976 0.0038406 109.801 31.8538 -211 93 1 0 1
