#BLTrackFile VirtualDetector/5_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-1.56177 -3.54031 5920.5 0.0848926 -0.0518719 146.756 27.18 -211 6 1 0 1
1.20553 0.334571 5920.5 0.00211636 -0.00195615 105.533 32.6554 -211 7 1 0 1
1.98818 -5.55304 5920.5 -0.0533598 -0.0227636 91.0551 36.0457 -211 10 1 0 1
6.26231 1.15406 5920.5 0.0805966 0.0818519 114.265 31.0908 -211 12 1 0 1
-1.4834 -4.00899 5920.5 0.0400698 -0.1213 126.72 29.2997 -211 14 1 0 1
3.77502 -3.56542 5920.5 0.0292456 -0.0390608 93.8952 35.2844 -211 16 1 0 1
-4.81824 -4.85254 5920.5 -0.055705 -0.0599084 103.635 33.0372 -211 21 1 0 1
4.45681 4.93292 5920.5 0.11665 -0.0353094 143.904 27.4371 -211 23 1 0 1
5.56141 5.15428 5920.5 0.105115 0.107265 128.696 29.054 -211 27 1 0 1
-1.76473 1.23733 5920.5 0.0152849 -0.075754 135.383 28.2874 -211 29 1 0 1
0.620882 -4.71821 5920.5 0.0326021 0.0557919 101.638 33.4571 -211 37 1 0 1
3.11134 0.379093 5920.5 0.0850098 -0.0220968 131.395 28.7329 -211 46 1 0 1
-8.85133 -3.04659 5920.5 -0.109908 0.0873828 98.6706 34.118 -211 50 1 0 1
-2.91492 0.83659 5920.5 -0.0428689 0.0546331 99.3371 33.9655 -211 53 1 0 1
1.10865 -4.69684 5920.5 0.0662878 -0.033171 78.7505 40.0792 -211 54 1 0 1
0.207812 0.148911 5920.5 -0.0119609 -0.0249897 149.872 26.9131 -211 57 1 0 1
3.01166 -0.408193 5920.5 0.133976 -0.121523 149.756 26.9228 -211 59 1 0 1
-8.17725 2.35021 5920.5 -0.105722 0.0138974 97.6868 34.3475 -211 61 1 0 1
0.963301 1.06122 5920.5 0.0108459 -0.0341988 112.615 31.3645 -211 69 1 0 1
9.13552 -0.893742 5920.5 0.147092 -0.0341043 121.233 30.0339 -211 70 1 0 1
7.56167 4.12296 5920.5 0.0906379 -0.0861652 105.739 32.615 -211 72 1 0 1
0.830504 -1.58863 5920.5 -0.0448946 -0.0662797 99.4472 33.9405 -211 75 1 0 1
-3.64332 0.38993 5920.5 -0.105911 0.0531677 120.923 30.0777 -211 79 1 0 1
3.96537 -2.64573 5920.5 0.0794627 0.0205839 132.992 28.5505 -211 81 1 0 1
-7.10157 -2.66067 5920.5 -0.0729093 -0.0812047 109.703 31.8712 -211 86 1 0 1
0.289723 -0.0783752 5920.5 0.108422 0.0818325 126.491 29.3288 -211 87 1 0 1
-1.34271 -2.66813 5920.5 0.0395995 -0.0239652 99.4005 33.9511 -211 88 1 0 1
-0.362285 -1.65503 5920.5 0.00660858 -0.00584593 73.703 42.1775 -211 91 1 0 1
-1.60099 -1.87753 5920.5 -0.0391792 -0.00361563 106.098 32.545 -211 95 1 0 1
-1.24583 2.19639 5920.5 -0.0757026 0.100945 120.453 30.1447 -211 97 1 0 1
-7.67187 5.17444 5920.5 -0.129318 0.0755897 108.238 32.1386 -211 98 1 0 1
3.01851 5.67549 5920.5 0.116552 -0.0345483 127.382 29.2163 -211 103 1 0 1
1.59645 -3.78543 5920.5 0.103969 -0.0845021 96.4892 34.6342 -211 110 1 0 1
1.17134 1.20195 5920.5 0.0978924 0.0066239 64.0534 47.2189 -211 111 1 0 1
-0.259462 -6.69144 5920.5 0.0616639 -0.046404 79.7093 39.7141 -211 120 1 0 1
2.12675 -1.78357 5920.5 0.0370958 -0.0234379 69.1671 44.3551 -211 123 1 0 1
3.70502 -2.59878 5920.5 0.029103 -0.0902542 108.057 32.1723 -211 125 1 0 1
-3.93907 -5.46 5920.5 -0.0969687 -0.064111 99.1629 34.0051 -211 126 1 0 1
4.02462 1.02484 5920.5 0.0441269 0.0886006 100.542 33.696 -211 127 1 0 1
1.67007 0.810249 5920.5 -0.0121015 -0.0787577 95.211 34.9494 -211 129 1 0 1
0.407609 0.931756 5920.5 -0.0719188 -0.0435373 104.009 32.9608 -211 135 1 0 1
-5.53326 -1.03595 5920.5 -0.0199399 0.014959 89.0279 36.6233 -211 138 1 0 1
1.80129 -3.57519 5920.5 0.100027 0.0487552 104.968 32.7673 -211 140 1 0 1
4.14859 0.684551 5920.5 0.073116 0.0542846 84.378 38.0689 -211 141 1 0 1
-1.95681 -1.78734 5920.5 -0.0449097 -0.0245402 108.713 32.051 -211 144 1 0 1
4.29795 1.71219 5920.5 0.0810696 0.0810476 92.5109 35.6487 -211 146 1 0 1
5.22929 1.85254 5920.5 0.0245384 0.0408783 86.229 37.4722 -211 149 1 0 1
-8.11241 0.731433 5920.5 -0.123343 0.105874 108.116 32.1613 -211 151 1 0 1
1.06722 5.14035 5920.5 2.93825 27.8281 60.0091 35.7913 13 152 1001 1 1
-1.47959 5.09376 5920.5 0.0477421 0.00466858 94.1217 35.226 -211 153 1 0 1
-5.9416 3.59818 5920.5 -0.0797396 0.065659 104.997 32.7616 -211 159 1 0 1
5.55497 1.00481 5920.5 0.0341508 0.0131655 87.6293 37.0398 -211 161 1 0 1
1.63465 -0.0199251 5920.5 0.061489 0.0121968 87.8889 36.9613 -211 162 1 0 1
3.17794 5.05979 5920.5 0.0639622 0.0574964 102.026 33.374 -211 164 1 0 1
-5.51077 5.45348 5920.5 -0.06181 -0.00053733 122.814 29.814 -211 165 1 0 1
1.88004 4.05681 5920.5 0.0647373 -0.000326408 99.2023 33.9961 -211 167 1 0 1
-1.09263 4.59657 5920.5 0.0234342 0.0515473 91.0743 36.0403 -211 177 1 0 1
-2.72103 -5.62564 5920.5 -0.0652314 -0.106006 112.287 31.42 -211 180 1 0 1
1.45452 0.448301 5920.5 -0.0198856 -0.0275244 69.1701 44.3536 -211 186 1 0 1
-1.19899 -3.60427 5920.5 0.0139265 -0.0256684 106.473 32.4724 -211 187 1 0 1
1.9526 0.582499 5920.5 0.00296701 -0.0885387 108.84 32.0278 -211 193 1 0 1
2.56897 1.28448 5920.5 0.122004 -0.0588302 123.856 29.673 -211 194 1 0 1
-0.710486 4.97366 5920.5 -0.0472995 -0.0091309 114.772 31.0087 -211 196 1 0 1
0.722097 -2.33942 5920.5 0.105226 -0.110179 117.295 30.6127 -211 198 1 0 1
7.28224 1.61353 5920.5 0.0689628 0.043221 93.659 35.3457 -211 201 1 0 1
-1.93894 -1.5772 5920.5 -0.0361999 0.0405739 78.3426 40.2376 -211 203 1 0 1
-3.93495 4.37646 5920.5 -0.0449401 0.0222272 132.947 28.5556 -211 205 1 0 1
-5.7656 -0.587024 5920.5 -0.0330797 -0.0716677 99.5501 33.9173 -211 207 1 0 1
6.93201 -1.7808 5920.5 0.10572 -0.0937088 98.944 34.0551 -211 208 1 0 1
-0.699494 4.24179 5920.5 0.0892388 -0.0384929 94.9364 35.0185 -211 210 1 0 1
-1.98355 2.1076 5920.5 -0.0256976 -0.064033 103.553 33.054 -211 217 1 0 1
-1.42197 -3.30576 5920.5 0.0492281 0.0373929 64.2533 47.0977 -211 220 1 0 1
3.11932 0.884512 5920.5 0.0153457 -0.00603678 109.514 31.9054 -211 222 1 0 1
5.57367 -3.88028 5920.5 0.0682958 -0.0562872 100.667 33.6683 -211 225 1 0 1
7.48336 4.36454 5920.5 0.0824722 0.0303364 90.7525 36.13 -211 228 1 0 1
-1.83567 -2.66349 5920.5 -0.0232762 0.0371957 83.0857 38.5033 -211 230 1 0 1
-4.22009 5.15326 5920.5 -0.0570781 0.0587841 83.8624 38.2405 -211 232 1 0 1
8.36264 -4.04221 5920.5 0.1326 0.0840765 104.341 32.8933 -211 235 1 0 1
6.01835 -0.49562 5920.5 0.0617168 0.0511803 100.753 33.6495 -211 243 1 0 1
-1.37508 1.04484 5920.5 0.0423045 -0.0186279 91.9368 35.8035 -211 244 1 0 1
2.81789 -4.98482 5920.5 0.039751 -0.0307549 85.2396 37.7875 -211 246 1 0 1
-1.75632 -3.13095 5920.5 -0.0490541 0.0565315 99.0451 34.032 -211 247 1 0 1
-3.60662 1.33479 5920.5 -0.0399772 -0.0112423 75.5638 41.3676 -211 250 1 0 1
1.28647 3.05208 5920.5 0.115994 -0.0156035 61.9031 48.5778 -211 251 1 0 1
-1.00933 3.57654 5920.5 0.0121302 0.0406599 108.482 32.0935 -211 252 1 0 1
3.82388 1.44049 5920.5 0.058301 -0.0717493 104.757 32.8095 -211 253 1 0 1
3.48562 6.78883 5920.5 0.0721854 0.0568206 90.0155 36.3382 -211 256 1 0 1
5.5681 -1.17836 5920.5 0.119572 0.0602853 156.863 26.3628 -211 258 1 0 1
0.878669 4.3624 5920.5 0.00457716 -0.0127376 114.551 31.0445 -211 264 1 0 1
0.443071 -2.19597 5920.5 -0.0816335 0.0296491 95.5574 34.863 -211 266 1 0 1
-8.7432 4.55649 5920.5 -0.137807 0.0246727 124.387 29.6022 -211 267 1 0 1
-1.61389 -2.77189 5920.5 -0.0845228 -0.00995068 128.115 29.1252 -211 268 1 0 1
3.64383 -1.72034 5920.5 0.0662744 0.0383038 97.7031 34.3436 -211 270 1 0 1
1.29051 2.84454 5920.5 0.0348057 -0.00351657 78.713 40.0937 -211 271 1 0 1
-3.66439 1.62507 5920.5 0.0186315 -0.069415 117.844 30.5291 -211 272 1 0 1
-6.58411 -6.501 5920.5 -0.0597547 -0.0589208 90.8924 36.091 -211 274 1 0 1
-6.64558 -5.34098 5920.5 -0.0757634 0.0679097 109.494 31.9089 -211 277 1 0 1
-4.79425 -1.63842 5920.5 -0.0817385 0.0140305 97.1109 34.4843 -211 279 1 0 1
5.68435 2.89762 5920.5 0.00337393 0.0168027 80.6218 39.3757 -211 280 1 0 1
-4.36462 4.01881 5920.5 -0.071145 0.0809404 96.9261 34.5286 -211 283 1 0 1
