#BLTrackFile VirtualDetector/uniform_.0045_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.689298 0.171458 5920.5 -0.0070862 -0.228385 105.533 32.6555 -211 7 1 0 1
8.71109 1.85395 5920.5 0.196766 0.0566767 135.383 28.2874 -211 29 1 0 1
1.80627 15.5158 5920.5 -0.0554573 0.018914 95.5152 34.8737 -211 47 1 0 1
-13.1194 1.96196 5920.5 -0.185784 0.0686222 99.3369 33.9656 -211 53 1 0 1
8.4199 1.3578 5920.5 0.0284932 -0.185272 149.872 26.9131 -211 57 1 0 1
10.2796 4.91097 5920.5 0.075711 -0.0745813 112.615 31.3645 -211 69 1 0 1
-9.16266 7.9983 5920.5 -0.240108 0.0199926 126.773 29.2929 -211 72 1 0 1
-8.02286 -4.81937 5920.5 -0.227103 -0.0434697 99.447 33.9406 -211 75 1 0 1
1.95272 -9.55386 5920.5 0.235034 -0.197419 132.992 28.5506 -211 81 1 0 1
11.004 -10.0317 5920.5 0.200401 0.0895978 99.4003 33.9512 -211 88 1 0 1
6.27619 -0.695418 5920.5 -0.120416 0.0688163 73.7029 42.1778 -211 91 1 0 1
1.58627 -1.6118 5920.5 -0.143615 0.00251727 103.513 33.0624 -211 110 1 0 1
9.78359 4.77908 5920.5 0.121678 0.0206773 64.0534 47.2192 -211 111 1 0 1
14.3893 -1.76008 5920.5 24.2384 16.9917 81.4268 31.5974 13 116 1001 1 1
13.4811 0.978037 5920.5 0.0262506 -0.0192671 69.1671 44.3556 -211 123 1 0 1
-0.233965 -13.8935 5920.5 0.0962875 -0.122614 139.867 27.8239 -211 127 1 0 1
-2.02134 8.13984 5920.5 -0.0619923 -0.0137064 95.211 34.9494 -211 129 1 0 1
-14.0447 5.02555 5920.5 -0.375204 -0.0535024 104.008 32.9609 -211 135 1 0 1
-6.50705 -4.86919 5920.5 -0.137129 0.0419525 89.0278 36.6233 -211 138 1 0 1
12.6129 -3.75163 5920.5 0.372224 0.0165804 84.3772 38.0691 -211 141 1 0 1
5.54968 -7.38977 5920.5 -0.13804 0.00641984 108.713 32.0511 -211 144 1 0 1
14.8746 1.47956 5920.5 0.377336 8.65234e-05 92.5102 35.6489 -211 146 1 0 1
7.9494 2.53042 5920.5 0.184446 -0.0268474 86.2288 37.4722 -211 149 1 0 1
8.64247 0.980245 5920.5 0.213024 -0.0728328 87.629 37.0398 -211 161 1 0 1
9.72583 2.75445 5920.5 0.265942 0.171687 87.8884 36.9615 -211 162 1 0 1
3.89988 2.1507 5920.5 -0.0140323 -0.122372 69.1699 44.3537 -211 186 1 0 1
-0.675275 3.60208 5920.5 -0.0347489 -0.000537789 108.84 32.0278 -211 193 1 0 1
6.4941 0.418827 5920.5 0.162394 0.00629014 53.564 54.9689 -211 207 1 0 1
0.924325 11.4834 5920.5 -0.0983157 0.0337 103.553 33.0541 -211 217 1 0 1
-2.66659 -10.4279 5920.5 -0.0386836 0.185404 64.2531 47.0978 -211 220 1 0 1
0.489182 3.95446 5920.5 0.012415 -0.135742 109.514 31.9054 -211 222 1 0 1
8.77668 -4.75438 5920.5 0.246276 -0.0380156 100.752 33.6495 -211 243 1 0 1
9.84117 7.62918 5920.5 0.164826 0.0812797 91.9367 35.8037 -211 244 1 0 1
9.19825 11.9905 5920.5 0.095175 -0.0820109 61.9031 48.5782 -211 251 1 0 1
12.8397 8.07476 5920.5 0.239402 -0.0296786 104.757 32.8096 -211 253 1 0 1
6.84006 0.193833 5920.5 0.361589 -0.0884019 156.863 26.3628 -211 258 1 0 1
4.93175 -10.1812 5920.5 0.296483 -0.0402679 97.7027 34.3438 -211 270 1 0 1
6.56903 -7.47301 5920.5 0.153373 0.046338 93.6744 35.3417 -211 274 1 0 1
-7.02755 5.67837 5920.5 -0.20895 0.0260777 96.5552 34.6181 -211 297 1 0 1
8.22791 -0.80532 5920.5 0.069595 -0.00733102 84.508 38.026 -211 307 1 0 1
4.08946 -0.542453 5920.5 -0.108468 -0.174547 110.717 31.6913 -211 316 1 0 1
-4.24712 -1.41191 5920.5 -0.0276787 -0.0505384 114.168 31.1068 -211 334 1 0 1
13.0673 -1.63229 5920.5 0.0680181 0.158811 82.9483 38.5507 -211 343 1 0 1
-12.7531 5.9985 5920.5 -0.441092 0.0630087 116.23 30.7773 -211 345 1 0 1
1.6612 6.27984 5920.5 0.0563044 -0.112071 90.854 36.1016 -211 349 1 0 1
-6.83208 8.57125 5920.5 -0.281653 0.0108095 109.209 31.9605 -211 367 1 0 1
-8.81643 -7.67931 5920.5 -0.239536 0.139654 114.313 31.0831 -211 399 1 0 1
-9.95378 -2.66426 5920.5 -0.358927 -0.0315133 108.157 32.1537 -211 403 1 0 1
4.12725 -4.17285 5920.5 0.120026 -0.0952552 91.9842 35.7907 -211 413 1 0 1
2.53549 -13.3122 5920.5 -0.144196 0.162077 89.5161 36.4815 -211 416 1 0 1
-6.68131 13.1581 5920.5 -0.125523 0.0548729 107.579 32.2618 -211 437 1 0 1
-7.29907 -2.34248 5920.5 0.0533343 0.015117 106.265 32.5125 -211 443 1 0 1
0.570742 -5.83207 5920.5 -0.0717281 -0.125341 139.729 27.8376 -211 455 1 0 1
-6.65568 -0.683475 5920.5 -0.185371 -0.0999743 100.934 33.6097 -211 459 1 0 1
-4.92558 1.09379 5920.5 -0.106166 0.00411938 120.245 30.1747 -211 468 1 0 1
