#BLTrackFile VirtualDetector/negative_ellipse_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-5.46792 1.98732 5920.5 -0.0165011 -0.0717647 100 33.8162 -211 6 1 0 1
6.44261 -0.4274 5920.5 0.0876081 -0.0991529 99.9999 33.8162 -211 7 1 0 1
-4.79987 3.30696 5920.5 -0.00250319 -0.0548648 100 33.8162 -211 10 1 0 1
1.18755 -2.2594 5920.5 0.0867509 0.0766289 99.9999 33.8162 -211 12 1 0 1
3.15308 5.27073 5920.5 0.0988474 -0.0196908 99.9999 33.8162 -211 16 1 0 1
-5.42462 4.90306 5920.5 -0.119359 0.0283122 99.9999 33.8162 -211 21 1 0 1
6.52183 5.39736 5920.5 0.0772611 0.0392736 100 33.8163 -211 23 1 0 1
-3.83573 5.0919 5920.5 -0.114439 0.0153626 99.9999 33.8162 -211 26 1 0 1
5.81833 -3.90866 5920.5 0.116941 0.0393814 99.9999 33.8162 -211 27 1 0 1
-4.78482 4.03624 5920.5 -0.119065 0.0673825 99.9999 33.8162 -211 29 1 0 1
2.60931 -4.90551 5920.5 0.105934 0.000310525 99.9999 33.8162 -211 32 1 0 1
1.29527 -4.81342 5920.5 -0.0554318 0.0271908 100 33.8162 -211 37 1 0 1
5.49112 2.60288 5920.5 0.0346282 -0.0795986 100 33.8162 -211 46 1 0 1
1.67646 -2.93057 5920.5 0.0926592 0.0657417 99.9999 33.8162 -211 47 1 0 1
-4.58064 -1.13513 5920.5 -0.0102956 0.0935374 100 33.8162 -211 50 1 0 1
-0.308165 -5.42621 5920.5 -0.0742467 0.00784766 100 33.8162 -211 53 1 0 1
-3.08922 4.27257 5920.5 -0.111174 0.0593017 99.9999 33.8162 -211 54 1 0 1
1.74923 2.25968 5920.5 -0.0562586 0.0845803 99.9999 33.8162 -211 59 1 0 1
-6.83663 -2.36794 5920.5 -0.0673691 -0.0868852 99.9999 33.8163 -211 61 1 0 1
6.00541 4.59899 5920.5 0.0520208 -0.0434688 100 33.8162 -211 69 1 0 1
