#BLTrackFile VirtualDetector/on_uniform_.0025_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
13.7393 -5.3713 5920.5 0.234512 -0.204367 89.8315 36.3909 -211 6 1 0 1
-0.580863 -0.726486 5920.5 -0.00531842 -0.235381 105.533 32.6555 -211 7 1 0 1
12.4773 8.55685 5920.5 0.266649 0.088998 123.256 29.754 -211 10 1 0 1
-14.2463 0.00495213 5920.5 -0.385674 -0.0822606 130.99 28.78 -211 12 1 0 1
6.69373 -8.64081 5920.5 0.0944192 -0.0841224 93.8952 35.2845 -211 16 1 0 1
-1.12485 -10.5999 5920.5 -0.107789 0.0485073 103.635 33.0373 -211 21 1 0 1
2.71322 14.1769 5920.5 0.182816 0.030393 128.696 29.054 -211 27 1 0 1
6.57645 0.908114 5920.5 0.137129 0.0493863 135.383 28.2874 -211 29 1 0 1
-2.41192 -12.273 5920.5 0.0604091 0.0415655 101.638 33.4571 -211 37 1 0 1
3.34052 8.59348 5920.5 -0.0128316 0.0165314 95.5153 34.8736 -211 47 1 0 1
-10.6035 1.40722 5920.5 -0.14181 0.0692598 99.337 33.9655 -211 53 1 0 1
10.4568 -5.34893 5920.5 0.126119 0.0558901 78.7504 40.0793 -211 54 1 0 1
9.9188 1.62316 5920.5 0.0929233 -0.186778 149.872 26.9131 -211 57 1 0 1
14.4166 -4.43843 5920.5 0.418622 -0.0343141 149.755 26.9229 -211 59 1 0 1
-11.7502 6.51533 5920.5 -0.281102 0.085964 97.6864 34.3476 -211 61 1 0 1
10.5499 2.59618 5920.5 0.0989509 -0.0861527 112.615 31.3645 -211 69 1 0 1
10.7946 -2.44098 5920.5 0.308254 -0.0490913 121.232 30.0339 -211 70 1 0 1
-5.90139 4.41103 5920.5 -0.149365 -0.00579918 126.774 29.2929 -211 72 1 0 1
-3.75607 -2.82732 5920.5 -0.128177 -0.0416796 99.4472 33.9405 -211 75 1 0 1
-2.61861 -4.91324 5920.5 0.0874195 -0.162057 132.992 28.5506 -211 81 1 0 1
4.09613 9.96655 5920.5 0.170299 -0.0782352 79.8974 39.6436 -211 86 1 0 1
-5.13758 10.8128 5920.5 0.0191465 -0.101952 109.368 31.9317 -211 87 1 0 1
7.76507 -4.869 5920.5 0.133795 0.0979628 99.4004 33.9511 -211 88 1 0 1
8.02603 1.26678 5920.5 -0.0625419 0.0590768 73.703 42.1778 -211 91 1 0 1
-11.6078 6.23146 5920.5 -0.259456 0.00868538 120.453 30.1448 -211 97 1 0 1
5.2658 -0.783829 5920.5 -0.0409352 0.00435017 103.513 33.0624 -211 110 1 0 1
6.01904 4.69048 5920.5 0.0885989 0.0209151 64.0535 47.2191 -211 111 1 0 1
7.46088 1.74942 5920.5 24.0912 17.0018 81.4164 31.5972 13 116 1001 1 1
3.64613 11.7194 5920.5 0.0149881 0.10774 103.586 33.0475 -211 120 1 0 1
11.1135 0.273319 5920.5 0.0259441 -0.0149345 69.1671 44.3554 -211 123 1 0 1
-12.4979 7.68693 5920.5 -0.318274 -0.0264903 107.126 32.3474 -211 125 1 0 1
-4.26317 -12.107 5920.5 -0.232881 -0.0284813 99.1627 34.0052 -211 126 1 0 1
-2.29498 -7.60049 5920.5 0.0256309 -0.0623522 139.867 27.8238 -211 127 1 0 1
-0.793282 4.32831 5920.5 -0.0342441 -0.0151733 95.2111 34.9494 -211 129 1 0 1
-7.44666 2.48789 5920.5 -0.217916 -0.0605412 104.008 32.9608 -211 135 1 0 1
-3.85125 -2.26061 5920.5 -0.0853195 0.0395941 89.0279 36.6233 -211 138 1 0 1
7.82589 -8.93341 5920.5 0.27072 0.068269 104.968 32.7674 -211 140 1 0 1
4.66977 -1.99661 5920.5 0.21309 0.0127463 84.3778 38.0689 -211 141 1 0 1
9.81187 -3.87336 5920.5 -0.00916244 0.0184759 108.713 32.0511 -211 144 1 0 1
7.49254 0.834548 5920.5 0.220354 0.000315439 92.5107 35.6487 -211 146 1 0 1
4.17421 1.10499 5920.5 0.111086 -0.0246073 86.229 37.4721 -211 149 1 0 1
5.69313 13.5364 5920.5 0.126316 0.0762008 94.1216 35.2262 -211 153 1 0 1
-9.64155 8.41691 5920.5 -0.201636 0.0732868 104.997 32.7616 -211 159 1 0 1
4.32857 -0.315765 5920.5 0.126586 -0.0720174 87.6292 37.0398 -211 161 1 0 1
4.13872 3.53639 5920.5 0.150931 0.173287 87.8886 36.9614 -211 162 1 0 1
-1.37302 11.2431 5920.5 0.124293 -0.00208172 102.026 33.374 -211 164 1 0 1
-0.967642 12.7113 5920.5 -0.0715107 0.148427 122.814 29.8141 -211 165 1 0 1
-0.730044 9.827 5920.5 0.0480719 0.0430475 91.0743 36.0404 -211 177 1 0 1
-1.82553 -13.6079 5920.5 -0.140046 -0.0456979 112.287 31.4201 -211 180 1 0 1
3.63784 -1.78883 5920.5 -0.00528738 -0.0973897 69.17 44.3537 -211 186 1 0 1
7.50266 -7.62267 5920.5 0.0926631 0.14252 106.473 32.4724 -211 187 1 0 1
-2.83379e-06 1.96627 5920.5 -0.0167029 -0.00620058 108.84 32.0278 -211 193 1 0 1
2.27101 12.0986 5920.5 -0.0816955 -0.121384 114.772 31.0088 -211 196 1 0 1
-2.70103 -9.23703 5920.5 -0.0664842 -0.0594224 90.0034 36.3417 -211 198 1 0 1
-12.6663 -6.15922 5920.5 -0.0749726 0.0556106 78.3425 40.2378 -211 203 1 0 1
0.590112 9.30622 5920.5 -0.0292931 0.232979 132.946 28.5557 -211 205 1 0 1
3.91192 0.704591 5920.5 0.147478 0.00261299 53.564 54.9689 -211 207 1 0 1
-4.39922 10.5441 5920.5 -0.214523 0.0295661 103.836 32.9961 -211 210 1 0 1
3.41241 6.30773 5920.5 -0.0290995 0.0226904 103.553 33.0541 -211 217 1 0 1
-1.6236 -2.31535 5920.5 -0.0286153 0.12056 64.2532 47.0977 -211 220 1 0 1
0.337212 1.81137 5920.5 0.00878938 -0.146249 109.514 31.9054 -211 222 1 0 1
9.41431 -9.07421 5920.5 0.183165 -0.0750436 100.667 33.6683 -211 225 1 0 1
8.80441 7.76046 5920.5 0.242278 -0.0677045 90.7522 36.1301 -211 228 1 0 1
-11.2191 -6.14265 5920.5 -0.0696225 0.108778 83.0857 38.5035 -211 230 1 0 1
-10.5453 8.07727 5920.5 -0.173628 -0.00819751 83.8622 38.2405 -211 232 1 0 1
-13.5024 -0.846723 5920.5 -0.246468 -0.0142717 95.3413 34.9169 -211 235 1 0 1
4.24947 -2.75346 5920.5 0.14028 -0.0355328 100.753 33.6495 -211 243 1 0 1
6.88237 4.96739 5920.5 0.109842 0.0838858 91.9368 35.8036 -211 244 1 0 1
-12.5533 -9.0997 5920.5 -0.16853 0.00464313 99.045 34.0321 -211 247 1 0 1
-4.09444 11.5566 5920.5 -0.172915 0.110837 75.5636 41.368 -211 250 1 0 1
5.85812 7.57528 5920.5 0.0738794 -0.0439069 61.9031 48.5779 -211 251 1 0 1
-3.60909 9.09022 5920.5 0.0100764 0.168258 108.482 32.0937 -211 252 1 0 1
9.346 4.22825 5920.5 0.16418 -0.0400155 104.757 32.8096 -211 253 1 0 1
4.30909 13.5611 5920.5 0.193055 -0.0139462 90.0154 36.3383 -211 256 1 0 1
1.6042 0.510354 5920.5 0.174745 -0.0863479 156.863 26.3628 -211 258 1 0 1
9.51955 10.6497 5920.5 0.0796121 -0.102785 114.551 31.0446 -211 264 1 0 1
-10.7766 -7.00129 5920.5 -0.229325 -0.0364571 95.5572 34.8631 -211 266 1 0 1
-8.80108 10.8909 5920.5 -0.269526 0.110727 124.387 29.6023 -211 267 1 0 1
-12.9613 -5.66122 5920.5 -0.301347 -0.275122 128.114 29.1254 -211 268 1 0 1
-1.4596 -5.82753 5920.5 0.138444 -0.0370026 97.703 34.3437 -211 270 1 0 1
-1.88139 13.1941 5920.5 0.0978881 0.12221 78.7128 40.0942 -211 271 1 0 1
3.65337 -3.69718 5920.5 0.0918303 0.0469818 93.6745 35.3416 -211 274 1 0 1
4.71245 -12.2208 5920.5 -0.0399239 -0.171196 138.768 27.9341 -211 277 1 0 1
-13.3026 -1.92705 5920.5 -0.242954 0.191145 97.1104 34.4844 -211 279 1 0 1
-10.4942 7.73308 5920.5 -0.199151 0.0213106 96.9259 34.5287 -211 283 1 0 1
-7.11582 -12.3137 5920.5 0.0801869 0.0807632 109.545 31.8999 -211 286 1 0 1
-7.61205 -9.4374 5920.5 -0.273261 0.0300125 120.82 30.0924 -211 293 1 0 1
12.6607 5.69414 5920.5 0.317394 0.0867066 105.899 32.5838 -211 295 1 0 1
-2.9636 3.27562 5920.5 -0.116348 0.0250359 96.5554 34.6181 -211 297 1 0 1
6.9859 -0.543325 5920.5 0.0584278 -0.0080702 84.508 38.026 -211 307 1 0 1
-12.7305 -9.27646 5920.5 -0.397542 0.085028 153.884 26.5895 -211 308 1 0 1
-2.90659 12.4297 5920.5 -0.129217 0.0291374 91.5379 35.9125 -211 312 1 0 1
7.45929 -0.587938 5920.5 -0.00594898 -0.178416 110.717 31.6913 -211 316 1 0 1
-4.89067 -10.3951 5920.5 -0.0157671 0.0561624 90.8334 36.1074 -211 324 1 0 1
-4.43831 -0.813415 5920.5 -0.0395964 -0.0488594 114.168 31.1068 -211 334 1 0 1
4.35492 8.13206 5920.5 0.233054 -0.0422801 95.3212 34.9219 -211 342 1 0 1
11.7371 1.47516 5920.5 0.0672436 0.152496 82.9483 38.5507 -211 343 1 0 1
-5.2017 3.32627 5920.5 -0.235715 0.0508211 116.231 30.7772 -211 345 1 0 1
0.547782 2.36017 5920.5 0.0318684 -0.111114 90.854 36.1016 -211 349 1 0 1
1.59387 8.80975 5920.5 0.0294388 -0.185254 96.6224 34.6019 -211 351 1 0 1
-6.17628 7.39881 5920.5 -0.17107 0.185183 148.28 27.0477 -211 353 1 0 1
-0.729289 -10.2282 5920.5 -0.151143 0.0810143 124.793 29.5486 -211 354 1 0 1
-2.3313 8.18075 5920.5 -0.0364581 -0.0803117 86.0871 37.5169 -211 356 1 0 1
4.01321 10.3066 5920.5 -0.0176919 -0.0858856 85.5436 37.6897 -211 366 1 0 1
-1.45367 4.60721 5920.5 -0.139975 -0.00295003 109.209 31.9604 -211 367 1 0 1
12.2063 1.81289 5920.5 0.441379 -0.00601927 151.403 26.7871 -211 378 1 0 1
5.02987 11.5796 5920.5 0.323511 -0.0423494 135.022 28.3264 -211 381 1 0 1
7.30542 -9.96015 5920.5 0.209003 -0.0154656 92.0333 35.7774 -211 386 1 0 1
3.54082 12.8819 5920.5 0.152832 0.0165035 100.452 33.7158 -211 387 1 0 1
-5.06603 -4.0038 5920.5 -0.142667 0.159725 114.313 31.0831 -211 399 1 0 1
-3.26585 -1.55566 5920.5 -0.186483 -0.028607 108.157 32.1536 -211 403 1 0 1
-10.2173 -7.37208 5920.5 -0.162055 0.0563556 94.0452 35.2457 -211 411 1 0 1
1.76401 -3.18753 5920.5 0.0687543 -0.0973295 91.9843 35.7907 -211 413 1 0 1
6.03614 -5.60671 5920.5 -0.0532072 0.156538 89.5162 36.4815 -211 416 1 0 1
-12.7495 1.58358 5920.5 -0.19403 -0.0542729 95.1804 34.9571 -211 417 1 0 1
9.97926 7.39386 5920.5 0.213057 0.0123294 105.991 32.5657 -211 421 1 0 1
-4.56765 10.8078 5920.5 -0.226496 0.0110745 101.043 33.586 -211 423 1 0 1
-4.05348 11.1529 5920.5 -0.0946241 0.00130825 100.879 33.6219 -211 431 1 0 1
